STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	9170645019	4	999480	29	1	1	4	0	0	0	0	5	2	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	379	0	1	1
1703102	9170645019	5	999480	27	2	1	2	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	379	0	1	1
1703102	9170647083	1	999480	37	1	1	37	3	5	1	1	1	0	0	1	0	13	54000	40	1	1	1	9470	98	58	1	0	3710	54000	439	3100	1	1
1703102	9170647083	2	999480	36	2	1	36	1	40	1	1	1	1	0	1	0	13	42000	20	1	1	1	8090	90	43	1	1	3160	42000	439	3490	1	1
1703102	9170647083	3	999480	36	1	1	5	0	0	0	0	5	2	0	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	439	0	1	1
1703102	9170647083	4	999480	37	2	1	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	439	0	1	1
1703102	9170651617	1	999480	16	2	1	63	3	0	0	0	2	0	8900	1	0	10	17100	37	1	6	1	9480	0	0	3	4	5400	26000	258	0	1	1
1703102	9170651617	2	999480	35	2	1	42	0	0	0	0	3	2	0	1	0	10	0	0	3	6	1	0	0	0	4	4	0	11200	258	0	1	1
1703102	9170653516	1	999480	34	1	1	50	1	45	1	1	3	0	0	1	0	10	65000	45	1	1	1	3080	274	144	4	0	7330	65000	499	3000	1	1
1703102	9170653516	2	999480	43	2	1	22	1	0	0	0	5	2	0	2	6	13	7000	32	1	6	1	8270	0	0	6	4	3600	7000	499	0	1	1
1703102	9170653709	1	999480	30	1	1	55	1	10	1	1	1	0	0	1	0	9	60000	40	1	1	1	4670	63	22	1	0	4700	60000	501	3100	1	1
1703102	9170653709	2	999480	33	2	1	47	1	45	1	1	1	1	0	1	0	14	125000	45	1	1	1	7490	91	43	1	2	800	125000	501	3200	1	1
1703102	9170653709	3	999480	40	1	1	17	1	15	1	1	5	2	0	2	5	7	3000	10	1	1	1	5170	193	115	6	0	4760	3000	501	3100	1	1
1703102	9170655754	1	999480	48	2	8	25	6	15	0	10	1	0	0	1	0	4	0	8	1	1	2	8080	97	55	1	2	3030	3600	86	3100	1	1
1703102	9170655754	2	999480	99	1	8	32	1	5	1	1	1	1	0	1	0	4	18400	30	1	1	2	4690	89	49	1	0	7200	18400	86	3100	1	1
1703102	9170655754	3	999480	83	1	8	11	0	0	0	0	5	2	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	86	0	1	1
1703102	9170655754	4	999480	82	1	8	10	0	0	0	0	5	2	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	86	0	1	1
1703102	9170655754	5	999480	83	1	8	6	0	0	0	0	5	2	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	86	0	1	1
1703102	9170673946	1	999480	34	1	2	57	1	0	0	0	1	0	24000	1	0	12	0	0	2	6	1	570	0	0	1	0	7100	24000	501	0	1	1
1703102	9170673946	2	999480	23	2	2	54	5	50	1	1	1	1	0	1	0	11	73000	45	1	1	1	6370	176	103	1	4	20	73000	501	3500	1	1
1703102	9170673946	3	999480	39	1	2	21	1	15	2	1	5	2	0	1	0	11	29000	40	1	1	1	6390	84	42	6	0	9600	29000	501	3500	1	1
1703102	9170680030	1	999480	24	2	1	71	1	0	0	0	2	0	0	1	0	9	0	0	2	6	1	5170	0	0	3	4	4760	15100	147	0	1	1
1703102	9170681786	1	999480	31	2	8	36	7	60	2	1	1	0	0	1	0	6	80000	12	1	1	3	7280	118	67	1	3	940	80000	389	3500	1	1
1703102	9170681786	2	999480	31	1	8	44	1	60	2	1	1	1	0	1	0	6	20000	40	1	1	2	7280	118	67	1	0	5860	20000	389	3500	1	1
1703102	9170681786	3	999480	31	2	8	17	0	0	0	0	5	2	0	2	5	6	0	0	3	6	3	0	0	0	6	4	0	0	389	0	1	1
1703102	9170681786	4	999480	36	2	8	10	0	0	0	0	5	2	0	2	3	2	0	0	0	0	24	0	0	0	0	0	0	0	389	0	1	1
1703102	9170681786	5	999480	28	1	8	4	0	0	0	0	5	2	0	2	1	1	0	0	0	0	24	0	0	0	0	0	0	0	389	0	1	1
1703102	9170682414	1	999480	30	1	1	41	1	0	0	0	3	0	0	1	0	9	1500	30	1	3	1	2590	0	0	4	0	9130	1500	13	0	1	1
1703102	9170684639	1	999480	24	2	1	72	1	0	0	0	2	0	7200	1	0	11	0	0	2	6	1	5380	0	0	3	4	5240	22200	216	0	1	1
1703102	9170690533	1	999480	26	1	8	52	1	30	1	1	1	0	440	1	0	9	40000	40	1	1	2	3990	82	37	1	0	5860	40440	501	3100	1	1
1703102	9170690533	2	999480	24	2	1	50	1	45	1	1	1	1	2000	1	0	10	30000	32	1	1	1	7860	88	40	1	4	5240	32000	501	3200	1	1
1703102	9170696614	1	999480	18	1	1	47	1	30	1	1	1	0	0	1	0	8	53000	40	1	1	1	3870	67	22	1	0	7700	53000	352	3100	1	1
1703102	9170696614	2	999480	22	2	1	46	1	7	1	1	1	1	0	1	0	9	6000	24	1	1	1	5380	95	55	1	4	4720	6000	352	3100	1	1
1703102	9170696614	3	999480	24	2	1	18	9	0	0	0	5	2	0	1	0	9	0	0	3	3	1	9920	0	0	6	4	9920	0	352	0	1	1
1703102	9170696909	1	999480	16	2	8	68	1	0	0	0	2	0	0	1	0	11	21000	35	1	6	2	5380	0	0	3	4	5350	34600	229	0	1	1
1703102	9170696909	2	999480	30	1	8	52	6	0	0	0	3	2	0	1	0	9	1000	35	1	3	2	770	0	0	4	0	6350	5200	229	0	1	1
1703102	9170696909	3	999480	18	2	8	14	0	0	0	0	5	5	0	2	4	4	0	0	0	0	2	0	0	0	0	0	0	0	229	0	1	1
1703102	9170703985	1	999480	39	2	1	28	1	15	1	1	1	0	0	1	0	13	37000	43	1	1	1	8090	88	46	1	4	3540	37000	501	3100	1	1
1703102	9170703985	2	999480	41	1	1	31	1	25	1	1	1	1	0	1	0	14	45000	50	1	1	1	7860	83	39	1	0	230	45000	501	3100	1	1
1703102	9170707496	1	999480	27	2	2	61	0	0	0	0	5	0	0	1	0	9	0	0	3	6	1	0	0	0	6	4	0	8800	52	0	1	1
1703102	9170707496	2	999480	36	2	2	26	0	0	0	0	5	2	0	1	0	9	0	0	3	6	1	0	0	0	6	4	0	0	52	0	1	1
1703102	9170707496	3	999480	84	1	2	25	9	0	0	0	5	5	0	1	0	9	0	0	3	3	1	9920	0	0	6	0	9920	0	52	0	1	1
1703102	9170708629	1	999480	49	1	8	33	7	60	1	1	1	0	0	1	0	9	42000	40	1	1	2	770	58	13	1	0	6240	42000	163	3100	1	1
1703102	9170708629	2	999480	45	2	8	31	0	0	0	0	1	1	0	1	0	9	0	0	3	6	2	0	0	0	1	3	0	0	163	0	1	1
